crater_id;latitude;longitude;diam_circle_image;depth_rimfloor_topog
23-011196;-15.899;137.939;1.3;0.0
23-011210;-14.469;139.779;1.3;0.0
23-011225;-14.081;137.34;1.3;0.0
23-011236;-16.288;138.331;1.3;0.0
23-011370;-15.083;135.025;1.29;0.0
23-011408;-14.345;138.465;1.29;0.0
23-011491;-16.427;138.876;1.28;0.0
23-011634;-16.62;139.632;1.27;0.0
23-011689;-13.839;135.833;1.27;0.0
23-011715;-16.336;138.8;1.27;0.0
23-011761;-14.8;138.873;1.26;0.0
23-011793;-15.574;138.553;1.26;0.0
23-011804;-14.895;136.642;1.26;0.0
23-011809;-16.134;139.033;1.26;0.0
23-011914;-16.261;139.282;1.25;0.0
23-011991;-16.07;138.574;1.25;0.0
23-012020;-13.841;135.139;1.25;0.0
23-012031;-16.627;136.882;1.25;0.0
23-012049;-15.417;135.889;1.25;0.0
23-012077;-16.111;138.409;1.24;0.0
23-012179;-14.08;138.024;1.24;0.0
23-012226;-15.648;136.837;1.23;0.0
23-012250;-15.436;136.072;1.23;0.0
23-012258;-16.368;138.731;1.23;0.0
23-012372;-14.255;137.769;1.22;0.0
23-012386;-14.767;135.554;1.22;0.0
23-012395;-14.744;138.094;1.22;0.0
23-012459;-15.355;138.946;1.22;0.0
23-012495;-14.026;137.695;1.22;0.0
23-012547;-16.076;138.748;1.21;0.0
23-012596;-16.21;135.451;1.21;0.0
23-012658;-14.476;135.851;1.21;0.0
23-012677;-16.227;138.437;1.21;0.0
23-012716;-16.383;139.343;1.2;0.0
23-012860;-15.133;138.106;1.2;0.0
23-012944;-14.102;138.126;1.19;0.0
23-012978;-15.039;136.288;1.19;0.0
23-013079;-14.348;138.023;1.18;0.0
23-013096;-13.816;137.485;1.18;0.0
23-013106;-16.393;139.791;1.18;0.0
23-013140;-15.443;138.198;1.18;0.0
23-013172;-15.659;137.323;1.18;0.0
23-013196;-13.98;139.166;1.18;0.0
23-013227;-16.151;138.893;1.18;0.0
23-013240;-14.155;138.103;1.18;0.0
23-013557;-14.145;138.088;1.16;0.0
23-013728;-15.669;137.024;1.15;0.0
23-013739;-16.0;138.384;1.15;0.0
23-013842;-16.266;137.535;1.14;0.0
23-014100;-15.151;138.198;1.13;0.0
23-014145;-16.332;139.837;1.13;0.0
23-014155;-16.129;137.008;1.13;0.0
23-014178;-16.211;137.976;1.13;0.0
23-014242;-16.261;138.821;1.12;0.0
23-014284;-15.382;138.645;1.12;0.0
23-014377;-15.95;138.896;1.12;0.0
23-014509;-15.055;135.524;1.11;0.0
23-014515;-15.263;135.329;1.11;0.0
23-014539;-15.733;137.104;1.11;0.0
23-014571;-16.272;137.272;1.11;0.0
23-014673;-16.583;138.567;1.11;0.0
23-014680;-15.12;138.277;1.11;0.0
23-014795;-14.236;135.239;1.1;0.0
23-014812;-16.418;139.815;1.1;0.0
23-015042;-15.347;139.2;1.09;0.0
23-015043;-14.82;139.562;1.09;0.0
23-015201;-14.52;138.915;1.08;0.0
23-015223;-14.857;137.902;1.08;0.0
23-015344;-14.617;136.422;1.08;0.0
23-015395;-14.604;136.06;1.08;0.0
